POST,GROUP_ID,GROUP_TIME,SLICE_TIME
ForkNode_one_incoming_edge,18_48/001,4245.454545,9369
InitialNode_no_incoming_edges,18_48/001,4245.454545,9087
InitialNode_control_edges,18_48/001,4245.454545,9606
JoinNode_one_outgoing_edge,18_48/001,4245.454545,9615
MergeNode_one_outgoing_edge,18_48/001,4245.454545,9612
Property_derived_union_is_read_only,18_48/001,4245.454545,10798
Property_derived_union_is_derived,18_48/001,4245.454545,11250
Property_subsetted_property_names,18_48/001,4245.454545,11304
State_submachine_states,18_48/001,4245.454545,11727
State_composite_states,18_48/001,4245.454545,11710
AcceptEventAction_no_output_pins,18_48/002,33546.8,10286
CallAction_synchronous_call,18_48/002,33546.8,13167
ConditionalNode_no_input_pins,18_48/002,33546.8,10693
Enumeration_immutable,18_48/002,33546.8,12075
Extension_is_binary,18_48/002,33546.8,10632
FinalNode_no_outgoing_edges,18_48/003,180000,10893
Pin_control_pins,18_48/003,180000,13351
Pin_not_unique,18_48/003,180000,12851
AcceptEventAction_no_input_pins,18_48/003,180000,13143
Node_internal_structure,18_48/003,180000,70589
State_destinations_or_sources_of_transitions,18_48/004,180000,180000
StructuralFeatureAction_not_static,18_48/004,180000,86122
ExecutionSpecification_same_lifeline,18_48/005,180000,52077
BehavioralFeature_abstract_no_method,18_48/005,180000,34790
InformationItem_has_no,18_48/006,0,0
ReadLinkObjectEndAction_ends_of_association,18_48/007,0,0
LinkAction_not_static,18_48/008,0,0
StringExpression_operands,18_48/009,0,0
Behavior_feature_of_context_classifier,18_48/010,0,0
CommunicationPath_association_ends,18_48/011,0,0
Component_no_nested_classifiers,18_48/012,0,0
ClassifierTemplateParameter_has_constraining_classifier,18_48/013,0,0
CreateObjectAction_classifier_not_abstract,18_48/014,0,0
CreateObjectAction_classifier_not_association_class,18_48/015,0,0
InformationFlow_convey_classifiers,18_48/016,0,0
ActionInputPin_one_output_pin,18_48/017,0,0
ActionInputPin_input_pin,18_48/018,0,0
AcceptCallAction_unmarshall,19_50/000,180000,8665
InformationItem_not_instantiable,19_50/000,180000,8283
ObjectFlow_is_multicast_or_is_multireceive,19_50/000,180000,8261
Parameter_stream_and_exception,19_50/000,180000,7871
FinalState_no_regions,19_50/000,180000,9209
Reception_same_name_as_signal,19_50/000,180000,10755
State_submachine_or_regions,19_50/000,180000,10489
ActivityParameterNode_has_parameters,19_50/000,180000,17710
ActivityParameterNode_no_edges,19_50/000,180000,9099
DecisionNode_decision_input_flow_incoming,19_50/000,180000,14336
Extend_extension_points,19_50/000,180000,35007
FinalState_no_outgoing_transitions,19_50/000,180000,9802
ForkNode_one_incoming_edge,19_50/001,2259.5,9369
InitialNode_no_incoming_edges,19_50/001,2259.5,9087
InitialNode_control_edges,19_50/001,2259.5,9606
JoinNode_one_outgoing_edge,19_50/001,2259.5,9615
MergeNode_one_outgoing_edge,19_50/001,2259.5,9612
Property_derived_union_is_read_only,19_50/001,2259.5,10798
Property_derived_union_is_derived,19_50/001,2259.5,11250
Property_subsetted_property_names,19_50/001,2259.5,11304
State_submachine_states,19_50/001,2259.5,11727
State_composite_states,19_50/001,2259.5,11710
ValuePin_no_incoming_edges,19_50/001,2259.5,9483
Extension_is_binary,19_50/001,2259.5,10632
AcceptEventAction_no_output_pins,19_50/002,36983,10286
CallAction_synchronous_call,19_50/002,36983,13167
ConditionalNode_no_input_pins,19_50/002,36983,10693
Enumeration_immutable,19_50/002,36983,12075
FinalNode_no_outgoing_edges,19_50/003,180000,10893
Pin_control_pins,19_50/003,180000,13351
Pin_not_unique,19_50/003,180000,12851
AcceptEventAction_no_input_pins,19_50/003,180000,13143
Node_internal_structure,19_50/003,180000,70589
State_destinations_or_sources_of_transitions,19_50/004,180000,180000
StructuralFeatureAction_not_static,19_50/004,180000,86122
ExecutionSpecification_same_lifeline,19_50/005,180000,52077
BehavioralFeature_abstract_no_method,19_50/005,180000,34790
InformationItem_has_no,19_50/006,0,0
ReadLinkObjectEndAction_ends_of_association,19_50/007,0,0
LinkAction_not_static,19_50/008,0,0
StringExpression_operands,19_50/009,0,0
Behavior_feature_of_context_classifier,19_50/010,0,0
CommunicationPath_association_ends,19_50/011,0,0
Component_no_nested_classifiers,19_50/012,0,0
ClassifierTemplateParameter_has_constraining_classifier,19_50/013,0,0
CreateObjectAction_classifier_not_abstract,19_50/014,0,0
CreateObjectAction_classifier_not_association_class,19_50/015,0,0
InformationFlow_convey_classifiers,19_50/016,0,0
ActionInputPin_one_output_pin,19_50/017,0,0
ActionInputPin_input_pin,19_50/018,0,0
AcceptCallAction_unmarshall,20_53/000,180000,8665
InformationItem_not_instantiable,20_53/000,180000,8283
ObjectFlow_is_multicast_or_is_multireceive,20_53/000,180000,8261
Parameter_stream_and_exception,20_53/000,180000,7871
FinalState_no_regions,20_53/000,180000,9209
Reception_same_name_as_signal,20_53/000,180000,10755
State_submachine_or_regions,20_53/000,180000,10489
ActivityParameterNode_has_parameters,20_53/000,180000,17710
ActivityParameterNode_no_edges,20_53/000,180000,9099
DecisionNode_decision_input_flow_incoming,20_53/000,180000,14336
Extend_extension_points,20_53/000,180000,35007
FinalState_no_outgoing_transitions,20_53/000,180000,9802
ForkNode_one_incoming_edge,20_53/000,180000,9369
InitialNode_no_incoming_edges,20_53/001,2146.181818,9087
InitialNode_control_edges,20_53/001,2146.181818,9606
JoinNode_one_outgoing_edge,20_53/001,2146.181818,9615
MergeNode_one_outgoing_edge,20_53/001,2146.181818,9612
Property_derived_union_is_read_only,20_53/001,2146.181818,10798
Property_derived_union_is_derived,20_53/001,2146.181818,11250
Property_subsetted_property_names,20_53/001,2146.181818,11304
State_submachine_states,20_53/001,2146.181818,11727
State_composite_states,20_53/001,2146.181818,11710
ValuePin_no_incoming_edges,20_53/001,2146.181818,9483
AcceptEventAction_no_output_pins,20_53/001,2146.181818,10286
CallAction_synchronous_call,20_53/002,16963.5,13167
ConditionalNode_no_input_pins,20_53/002,16963.5,10693
Enumeration_immutable,20_53/002,16963.5,12075
Extension_is_binary,20_53/002,16963.5,10632
FinalNode_no_outgoing_edges,20_53/002,16963.5,10893
